Trip Start Timestamp,Extras,Fare,Tips,Tolls,Trip Miles,Trip Seconds,Trip Total
11-01-16 00:00,1488421.18,18223002.72,2151244.15,3986.21,3.27,843.78,21989492.80
12-01-16 00:00,1176370.53,15457730.84,1715355.56,5292.32,2.72,756.52,18470588.53
08-01-14 00:00,2415053.96,32277690.87,3042431.62,13067.63,2.75,757.10,37748461.18
01-01-14 00:00,1732594.69,26243745.36,2131910.18,22487.30,1.98,716.29,30130900.66
11-01-13 00:00,2044537.58,28954639.94,2423557.64,17349.08,1.88,718.26,33441236.42
03-01-13 00:00,1799551.27,28267438.99,2043739.98,63496.85,2.53,773.80,32174456.65
08-01-15 00:00,2188638.53,28382716.77,3121912.72,7997.80,3.28,753.92,33701418.44
09-01-15 00:00,2181935.09,28183899.26,3256723.55,8439.20,3.43,784.10,33631087.22
09-01-14 00:00,2247080.17,32009231.58,3205628.02,27931.80,2.94,762.93,37491226.08
03-01-15 00:00,2127701.22,32282228.88,3410139.05,29613.40,2.91,700.73,37849799.45
01-01-16 00:00,1618559.71,22450961.31,2583115.05,7350.81,2.87,653.45,26660029.64
05-01-13 00:00,1931440.18,29468799.97,2276705.13,42886.41,2.23,755.64,33719955.54
06-01-16 00:00,2018224.49,28204357.48,3493055.53,6045.05,3.31,806.28,33874570.87
06-01-15 00:00,2348621.70,32254425.97,3637052.41,18451.94,3.12,789.38,38258722.65
03-01-16 00:00,1900852.28,27069784.14,3256801.99,5126.69,3.32,700.41,32232622.44
04-01-16 00:00,1894784.70,27436417.46,3400424.71,5003.63,4.04,732.35,32736759.03
07-01-13 00:00,2226019.86,28857469.76,2153422.87,29689.96,1.83,770.67,33266863.53
09-01-16 00:00,1529897.06,18415658.45,2139983.88,4038.21,3.16,847.84,22184254.75
12-01-13 00:00,2148357.07,28881608.70,2248540.12,16102.96,1.92,719.67,33294781.93
04-01-13 00:00,1676848.41,28516941.91,2051816.14,59800.40,2.45,705.55,32306146.32
12-01-14 00:00,1993409.39,28202234.52,2753226.18,8172.05,2.56,684.13,32957208.89
05-01-14 00:00,2434055.85,36570906.99,3439464.45,18081.84,2.67,747.53,42462927.07
02-01-16 00:00,1559233.10,23245502.90,2787755.37,4499.91,2.97,669.14,27597027.28
10-01-14 00:00,2275662.33,34541028.11,3504226.15,22395.49,2.92,763.30,40343598.89
01-01-13 00:00,1264863.74,18850883.56,1175183.18,31163.45,3.29,640.69,21322451.17
11-01-14 00:00,2127446.73,30375856.20,3122047.99,9314.57,2.77,736.22,35635024.71
09-01-13 00:00,1986575.37,28815203.54,2463140.81,16621.35,1.85,761.82,33281937.77
04-01-15 00:00,2030976.11,30921435.82,3409146.01,19199.91,3.03,728.36,36381164.57
07-01-16 00:00,2057075.99,24533638.09,2782557.06,4753.32,3.56,803.40,29519241.51
05-01-15 00:00,2445817.16,33699667.28,3737972.67,17333.25,3.06,768.29,39900951.52
02-01-14 00:00,1737039.07,26942369.31,2274938.95,22348.13,2.07,697.70,30977177.07
10-01-13 00:00,2208981.70,31613989.96,2761591.40,26676.46,1.91,763.46,36611675.00
10-01-15 00:00,2161529.67,29885766.09,3557681.26,8999.01,3.40,781.71,35614046.99
12-01-15 00:00,1544988.58,23688074.89,2598043.59,18037.67,2.83,696.43,27849178.12
02-01-15 00:00,1705564.29,28046940.86,2808660.95,21706.71,2.59,689.08,32582992.17
03-01-14 00:00,2151326.70,33321614.00,2933773.74,18889.03,2.16,696.32,38425810.68
05-01-16 00:00,1997762.03,28351955.55,3469075.67,7899.31,4.54,778.12,33927419.51
07-01-15 00:00,2209411.83,28770470.53,3085111.06,8862.81,3.07,773.74,34074534.10
06-01-14 00:00,2610642.53,35561725.86,3465484.88,15424.88,2.74,765.14,41653741.41
11-01-15 00:00,1831171.55,25611614.75,3028385.64,11172.35,3.26,753.74,30482352.42
01-01-15 00:00,1718417.14,27163102.16,2725971.29,15848.12,2.62,666.64,31623420.10
08-01-16 00:00,1719448.24,21155602.82,2377113.03,5510.27,3.10,812.48,25383752.67
10-01-16 00:00,1720326.07,21560810.55,2532707.14,5710.67,3.35,862.39,25957942.91
07-01-14 00:00,2379936.89,32286755.89,3037444.04,17062.03,2.72,759.93,37721712.57
02-01-13 00:00,1324670.87,22442129.55,1612504.32,48852.72,2.80,688.47,25428538.69
06-01-13 00:00,2135849.89,30800252.73,2430238.50,40939.81,2.01,775.39,35407529.99
08-01-13 00:00,2128421.53,29259847.28,2300158.57,22531.97,1.81,742.05,33711314.84
04-01-14 00:00,2227025.05,32714805.03,3051737.45,18572.64,2.58,698.26,38012527.97
