Country,Year,EUR per 100 kg
Belgium,2004,26.64
Bulgaria,2004,14.79
Czech Republic,2004,21.15
Denmark,2004,16.53
Germany,2004,7.23
Greece,2004,34.46
Spain,2004,21.57
France,2004,17.74
Croatia,2004
Italy,2004,31.85
Cyprus,2004,
Latvia,2004,6.72
Lithuania,2004,10.27
Luxembourg,2004,28
Hungary,2004,14.87
Malta,2004,21.97
Netherlands,2004,9.45
Austria,2004,9.9
Poland,2004,7.31
Portugal,2004,19.1
Romania,2004,22.26
Slovenia,2004,10.48
Slovakia,2004,12.22
Finland,2004,22.56
Sweden,2004,22.75
United Kingdom,2004,17.95
Belgium,2005,8.47
Bulgaria,2005,11.37
Czech Republic,2005,8.16
Denmark,2005,14.9
Germany,2005,6.57
Greece,2005,35.84
Spain,2005,16.59
France,2005,21.17
Croatia,2005,
Italy,2005,26.97
Cyprus,2005,32.46
Latvia,2005,9.05
Lithuania,2005,13.48
Luxembourg,2005,29.09
Hungary,2005,10.31
Malta,2005,22.79
Netherlands,2005,7.15
Austria,2005,7.02
Poland,2005,9.21
Portugal,2005,14.25
Romania,2005,21.82
Slovenia,2005,9.19
Slovakia,2005,10.05
Finland,2005,18.6
Sweden,2005,14.8
United Kingdom,2005,13.98
Belgium,2006,15.29
Bulgaria,2006,14.12
Czech Republic,2006,16.15
Denmark,2006,25.47
Germany,2006,16.77
Greece,2006,48.45
Spain,2006,26.45
France,2006,33.07
Croatia,2006,
Italy,2006,32.73
Cyprus,2006,49.55
Latvia,2006,12.05
Lithuania,2006,22.45
Luxembourg,2006,40.33
Hungary,2006,19.13
Malta,2006,25.75
Netherlands,2006,19.5
Austria,2006,17.09
Poland,2006,11.18
Portugal,2006,23.72
Romania,2006,34.6
Slovenia,2006,20.85
Slovakia,2006,17.05
Finland,2006,16.23
Sweden,2006,22.64
United Kingdom,2006,18.35
Belgium,2007,10.55
Bulgaria,2007,25.46
Czech Republic,2007,22.52
Denmark,2007,23.35
Germany,2007,18.16
Greece,2007,49.73
Spain,2007,23.96
France,2007,22.55
Croatia,2007,
Italy,2007,39.42
Cyprus,2007,37.59
Latvia,2007,12.41
Lithuania,2007,22.89
Luxembourg,2007,37
Hungary,2007,25.72
Malta,2007,36.03
Netherlands,2007,17.85
Austria,2007,18.72
Poland,2007,10.75
Portugal,2007,24.13
Romania,2007,33.01
Slovenia,2007,18.31
Slovakia,2007,19.81
Finland,2007,21.36
Sweden,2007,28.21
United Kingdom,2007,20.82
Belgium,2009,6.22
Bulgaria,2009,23.58
Czech Republic,2009,12.49
Denmark,2009,23.1
Germany,2009,11.03
Greece,2009,48.57
Spain,2009,14.01
France,2009,20.56
Croatia,2009,
Italy,2009,34.36
Cyprus,2009,56
Latvia,2009,13.45
Lithuania,2009,13.87
Luxembourg,2009,24.27
Hungary,2009,17.1
Malta,2009,28.94
Netherlands,2009,9.4
Austria,2009,9.86
Poland,2009,9.37
Portugal,2009,16.71
Romania,2009,28.77
Slovenia,2009,12.39
Slovakia,2009,19.73
Finland,2009,14.46
Sweden,2009,22.1
United Kingdom,2009,13.35
Belgium,2008,8.72
Bulgaria,2008,22.62
Czech Republic,2008,14.16
Denmark,2008,27.9
Germany,2008,12.08
Greece,2008,46.21
Spain,2008,22.19
France,2008,24.84
Croatia,2008,
Italy,2008,37.57
Cyprus,2008,56
Latvia,2008,14.1
Lithuania,2008,18.21
Luxembourg,2008,36.22
Hungary,2008,15.53
Malta,2008,24.04
Netherlands,2008,8.85
Austria,2008,10.6
Poland,2008,11.13
Portugal,2008,20
Romania,2008,28.82
Slovenia,2008,18.51
Slovakia,2008,14.39
Finland,2008,22.38
Sweden,2008,30.98
United Kingdom,2008,18.6
Belgium,2010,12.72
Bulgaria,2010,22.22
Czech Republic,2010,16.76
Denmark,2010,16.11
Germany,2010,15.79
Greece,2010,48.06
Spain,2010,25.28
France,2010,25.58
Croatia,2010,
Italy,2010,38.22
Cyprus,2010,40.72
Latvia,2010,14.75
Lithuania,2010,16.88
Luxembourg,2010,35.36
Hungary,2010,22.61
Malta,2010,27.2
Netherlands,2010,12.75
Austria,2010,17.27
Poland,2010,12.73
Portugal,2010,24.96
Romania,2010,32.29
Slovenia,2010,15.68
Slovakia,2010,27.3
Finland,2010,11.89
Sweden,2010,28.44
United Kingdom,2010,15.7
Belgium,2011,5.82
Bulgaria,2011,23.14
Czech Republic,2011,21.07
Denmark,2011,26.17
Germany,2011,19.18
Greece,2011,47.13
Spain,2011,20.38
France,2011,31.79
Croatia,2011,21.78
Italy,2011,39.52
Cyprus,2011,33.4
Latvia,2011,19.28
Lithuania,2011,23.52
Luxembourg,2011,29.71
Hungary,2011,18.27
Malta,2011,26.61
Netherlands,2011,15.35
Austria,2011,13.65
Poland,2011,12.03
Portugal,2011,23.3
Romania,2011,39.4
Slovenia,2011,15.08
Slovakia,2011,29.08
Finland,2011,19.08
Sweden,2011,29.71
United Kingdom,2011,16.87
Belgium,2012,16.81
Bulgaria,2012,19.02
Czech Republic,2012,11.25
Denmark,2012,16.29
Germany,2012,13
Greece,2012,42.54
Spain,2012,24
France,2012,39.17
Croatia,2012,15.82
Italy,2012,36.69
Cyprus,2012,29.2
Latvia,2012,13.26
Lithuania,2012,11.39
Luxembourg,2012,38.01
Hungary,2012,15.88
Malta,2012,32.14
Netherlands,2012,14.6
Austria,2012,16.91
Poland,2012,10.75
Portugal,2012,17.26
Romania,2012,28.03
Slovenia,2012,15.52
Slovakia,2012,21.03
Finland,2012,16.03
Sweden,2012,25.52
United Kingdom,2012,20.29
Belgium,2013,14.79
Bulgaria,2013,23.91
Czech Republic,2013,22.36
Denmark,2013,23
Germany,2013,24.66
Greece,2013,53.75
Spain,2013,33.89
France,2013,67.14
Croatia,2013,22.43
Italy,2013,47.26
Cyprus,2013,28.82
Latvia,2013,15.81
Lithuania,2013,17.24
Luxembourg,2013,38.08
Hungary,2013,27.11
Malta,2013,36.45
Netherlands,2013,19.62
Austria,2013,25.63
Poland,2013,15.35
Portugal,2013,32.84
Romania,2013,40.05
Slovenia,2013,32.67
Slovakia,2013,26.06
Finland,2013,23.81
Sweden,2013,32.49
United Kingdom,2013,24.96
Belgium,2014,2.73
Bulgaria,2014,20.37
Czech Republic,2014,17.69
Denmark,2014,24.13
Germany,2014,15.44
Greece,2014,44.83
Spain,2014,11.23
France,2014,36.7
Croatia,2014,15.54
Italy,2014,37.06
Cyprus,2014,25.71
Latvia,2014,15.85
Lithuania,2014,15.43
Luxembourg,2014,20.81
Hungary,2014,19.26
Malta,2014,28.25
Netherlands,2014,10.19
Austria,2014,12.25
Poland,2014,12.43
Portugal,2014,15.23
Romania,2014,34.43
Slovenia,2014,16.45
Slovakia,2014,26.77
Finland,2014,14.61
Sweden,2014,26.62
United Kingdom,2014,17.75
Belgium,2015,9.96
Bulgaria,2015,19.76
Czech Republic,2015,16.57
Denmark,2015,25.58
Germany,2015,12.84
Greece,2015,47.89
Spain,2015,19.83
France,2015,43.7
Croatia,2015,14.39
Italy,2015,35.93
Cyprus,2015,
Latvia,2015,13.62
Lithuania,2015,11.52
Luxembourg,2015,31.2
Hungary,2015,21.6
Malta,2015,32.71
Netherlands,2015,11.5
Austria,2015,18.85
Poland,2015,12.22
Portugal,2015,18.57
Romania,2015,26.99
Slovenia,2015,13.11
Slovakia,2015,24.72
Finland,2015,17.74
Sweden,2015,27.22
United Kingdom,2015,19.6
